Time (milliseconds),Filtered Speed (RPM),Steady-state average speed
8307.55,619.96,600.018
8331.47,575.1,600.018
8355.39,555.04,600.018
8379.31,583.57,600.018
8403.23,617.07,600.018
8427.15,627.41,600.018
8451.08,627.08,600.018
8474.99,608.56,600.018
8498.91,565.38,600.018
8522.83,546.75,600.018
8546.75,576.49,600.018
8570.67,629.28,600.018
8595.63,645.45,600.018
8619.55,604.47,600.018
8643.47,552.74,600.018
8667.39,545.08,600.018
8691.31,584.2,600.018
8715.23,617.6,600.018
8739.15,627.87,600.018
8763.07,609.24,600.018
8786.99,575.07,600.018
8810.91,564.16,600.018
8834.83,591.35,600.018
8858.75,623.71,600.018
8882.67,633.09,600.018
8906.59,622.83,600.018
8930.51,595.81,600.018
8954.43,563.6,600.018
8978.35,554.36,600.018
9002.27,564.73,600.018
9026.19,600.97,600.018
9051.15,647.52,600.018
9075.07,650.75,600.018
9098.99,610.53,600.018
9122.91,557.91,600.018
9146.83,549.5,600.018
9170.75,587.97,600.018
9194.67,629.95,600.018
9218.59,638.41,600.018
9242.51,599.99,600.018
9266.43,558.04,600.018
9290.35,558.74,600.018
9314.27,595.86,600.018
9338.19,627.56,600.018
9362.11,627.24,600.018
9386.03,608.71,600.018
9409.95,592.88,600.018
9433.87,579.36,600.018
9457.79,586.08,600.018
9481.71,619.21,600.018
9505.63,638.37,600.018
9529.55,618.21,600.018
9553.47,582.73,600.018
9577.39,570.7,600.018
9601.31,596.94,600.018
9625.23,646.74,600.018
9650.2,651.6,600.018
9674.11,591.85,600.018
9698.03,532.83,600.018
9721.95,528.08,600.018
9745.87,569.68,600.018
9769.79,623.46,600.018
9794.75,640.48,600.018
9818.67,600.23,600.018
9842.59,558.25,600.018
9866.51,549.79,600.018
9890.43,588.21,600.018
9915.4,636.59,600.018
9939.31,641.4,600.018
9963.23,602.57,600.018
9987.15,560.24,600.018
